Experiment, Condition, DyadID, ParticipantID,Phase,Meaning,InputSentence,RT,MeaningSelection,OutputSentence,CorrectedOutput,Grammatical,GrammaticalityJudgment,Timestamp
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'one')",mokte kospu,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:06:35 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:06:39 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:06:44 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:06:48 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'one')",jelpa kogla,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:06:53 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:06:57 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'blue', 'two')",mokte kogla nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:02 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'plain', 'two')",jelpa nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:07 2016
ISO, Morphology, NA, MI01,allTraining,"('mokte', 'plain', 'two')",mokte nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:11 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kospu nezno,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:15 2016
ISO, Morphology, NA, MI01,allTraining,"('jelpa', 'blue', 'two')",jelpa kogla nefri,NA,NA,NA,NA,NA,NA,Wed Jun 29 10:07:20 2016
